Feature,Importance
BsmtFinType1_BLQ,0.0002096067634060738
HouseStyle_2.5Fin,0.00020399771649686236
Exterior2nd_Wd Sdng,0.00020074222705190244
Exterior2nd_Wd Shng,0.00019961241051185332
GarageType_CarPort,0.00019564847360932288
GarageQual_Gd,0.00019396339517683975
FireplaceQu_Po,0.00019185923944674396
Alley_Pave,0.00018706489094637486
Foundation_BrkTil,0.00018046088892940737
SaleCondition_Family,0.00017437974475508148
SaleCondition_Alloca,0.00017345569847832649
3SsnPorch,0.0001722753365791021
MSZoning_RH,0.0001708872189326089
LotConfig_FR2,0.0001700000239081694
Neighborhood_BrDale,0.00016970651960583922
BsmtFinType2_Rec,0.00016359751587194214
RoofMatl_WdShake,0.00016199977221666905
LowQualFinSF,0.0001613869195826435
Fence_GdPrv,0.00015900541068843003
Neighborhood_OldTown,0.00015806223402621387
Neighborhood_SawyerW,0.0001575983951692719
Fence_GdWo,0.00015088559895476175
RoofMatl_WdShngl,0.00014890417006324763
BldgType_Twnhs,0.0001425643470985902
ExterCond_Gd,0.00014174254919212224
BsmtFinType2_ALQ,0.00013731228894405122
Heating_Grav,0.00013488429976135625
Condition1_PosA,0.00013111685426297944
Functional_Min1,0.00011972901983269418
Exterior1st_HdBoard,0.00011785358058172546
Exterior2nd_Plywood,0.0001172378199670295
Functional_Min2,0.00011485444059905119
MSZoning_C (all),0.00011355337728130375
Exterior1st_AsbShng,0.00011221756503342237
BsmtHalfBath,0.0001062816897519627
RoofStyle_Flat,0.00010535181315144149
Exterior1st_WdShing,0.00010523512504158751
PoolQC_Ex,0.00010195750168115376
PavedDrive_P,0.00010018761492918818
Neighborhood_IDOTRR,9.550985439888196e-05
BsmtFinType1_Rec,8.958708571099273e-05
GarageQual_Fa,8.673133790037957e-05
FireplaceQu_Fa,8.607577244377444e-05
GarageCond_Fa,7.978739953911939e-05
Neighborhood_Mitchel,7.833244675692966e-05
HouseStyle_SLvl,7.698051884354824e-05
GarageCond_TA,7.592209804299336e-05
SaleType_CWD,7.572862852334108e-05
Condition1_RRAe,7.068730958965405e-05
RoofStyle_Gambrel,6.864700070829263e-05
LandSlope_Sev,6.748509217468669e-05
BsmtFinType2_LwQ,6.57535011533672e-05
BsmtFinType2_BLQ,6.18521126795293e-05
BsmtFinType1_LwQ,5.4440420319770716e-05
Heating_Wall,5.069030783047104e-05
Street_Pave,5.044976191858665e-05
Electrical_FuseF,4.477087490704094e-05
GarageType_Basment,4.2428607382371694e-05
HouseStyle_2.5Unf,3.697516713813148e-05
HouseStyle_SFoyer,2.7042580506358308e-05
Exterior2nd_Brk Cmn,2.6208390739510247e-05
MasVnrType_BrkCmn,2.4796051158316106e-05
Functional_Maj1,2.388842406523333e-05
Condition2_Artery,2.2474857818702287e-05
Neighborhood_SWISU,2.0739524641471416e-05
RoofMatl_Tar&Grv,2.051333591229464e-05
SaleCondition_AdjLand,1.9526287663543338e-05
Foundation_Wood,1.9303595748867947e-05
BsmtFinType2_GLQ,1.77024907673633e-05
BldgType_2fmCon,1.6674503746059175e-05
ExterCond_Ex,1.6472741981682476e-05
SaleType_ConLI,1.5314974346069412e-05
SaleType_ConLD,1.5087725141917668e-05
Exterior2nd_AsbShng,1.4832469187045382e-05
Exterior1st_BrkComm,1.3534655110356385e-05
LotConfig_FR3,1.3234331233360612e-05
HouseStyle_1.5Unf,1.2878010305059221e-05
SaleType_Con,1.2671213405709887e-05
Exterior2nd_Stone,1.2651965513828029e-05
GarageCond_Gd,1.192590324977536e-05
Condition1_RRAn,9.3918122650292e-06
PoolQC_Fa,6.309154863318655e-06
GarageType_2Types,5.868165081965799e-06
GarageQual_Po,5.030605697701992e-06
SaleType_Oth,4.634379760031805e-06
Fence_MnWw,3.1395991584710842e-06
Street_Grvl,2.3220919969923537e-06
SaleType_ConLw,1.7450608903210488e-06
Foundation_Stone,1.6324801096209075e-06
Heating_OthW,1.6002419119752418e-06
GarageCond_Po,1.2337424501383173e-06
GarageQual_Ex,1.1068241463188567e-06
Neighborhood_NPkVill,5.508262640930676e-07
RoofStyle_Mansard,6.901682987931991e-08
MiscFeature_Othr,0.0
Exterior2nd_AsphShn,0.0
Exterior1st_Stone,0.0
Exterior1st_CBlock,0.0
Exterior1st_ImStucc,0.0
Exterior1st_AsphShn,0.0
RoofMatl_ClyTile,0.0
RoofStyle_Shed,0.0
RoofMatl_Roll,0.0
RoofMatl_Metal,0.0
Condition2_Feedr,0.0
Condition1_RRNe,0.0
Condition1_RRNn,0.0
Condition2_PosA,0.0
Condition2_RRNn,0.0
Condition2_RRAe,0.0
Condition2_RRAn,0.0
MiscFeature_Gar2,0.0
MiscFeature_Shed,0.0
MiscFeature_TenC,0.0
BsmtCond_Po,0.0
Neighborhood_Blueste,0.0
Exterior2nd_CBlock,0.0
Exterior2nd_Other,0.0
ExterCond_Po,0.0
Utilities_NoSeWa,0.0
Utilities_AllPub,0.0
HeatingQC_Po,0.0
Electrical_FuseP,0.0
Functional_Sev,0.0
Heating_Floor,0.0
GarageCond_Ex,0.0
PoolQC_Gd,0.0
